Spring 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Generated 5/5/2023, 2:12:22 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Term,Term Code,Department Code,Subject Code,Catalog Number,Course,Section #,Course Title,Section Type,Title/Topic,Meeting Pattern,Meetings,Instructor,Room,Status,Session,Campus,Inst. Method,Integ. Partner,Schedule Print,Consent,Credit Hrs Min,Credit Hrs,Grade Mode,Attributes,Course Attributes,Room Attributes,Enrollment,Maximum Enrollment,Prior Enrollment,Projected Enrollment,Wait Cap,Rm Cap Request,Cross-listings,Cross-list Maximum,Cross-list Projected,Cross-list Wait Cap,Cross-list Rm Cap Request,Link To,Comments,Notes#1,Notes#2
,Spring 2023,1231,UNO-ELEC,ECEN,106,ECEN 106,4,MICROPROCESSOR APPLICATIONS,Laboratory,,R 1:30pm-4:20pm,R 1:30pm-4:20pm,"Detloff, Herbert (94889479) [Primary Instructor, Post, Print]",Peter Kiewit Institute 311,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,16,30,,,99,30,,,,,,Any,"DONE, AMJ - Please assign to PKI 311",Overflow rooms PKI 313 and 340,
ECEN 123 - INTRODUCTION TO ELECTRICAL AND COMPUTER ENGINEERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-ELEC,ECEN,123,ECEN 123,1,INTRODUCTION TO ELECTRICAL AND COMPUTER ENGINEERING,Laboratory,,T 9am-11:50am,T 9am-11:50am,"Gilmore, Alisa (32249625) [Primary Instructor, Post, Print]",Peter Kiewit Institute 311,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,1,1,Graded,,,,26,40,,,0,40,,,,,,,"DONE, AMJ - Please assign to PKI 311",Over flow to PKI 313 and 340,
,Spring 2023,1231,UNO-ELEC,ECEN,123,ECEN 123,2,INTRODUCTION TO ELECTRICAL AND COMPUTER ENGINEERING,Laboratory,,R 9am-11:50am,R 9am-11:50am,"Gilmore, Alisa (32249625) [Primary Instructor, Post, Print]",Peter Kiewit Institute 311,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,1,1,Graded,,,,6,40,,,0,40,,,,,,,"DONE, AMJ - Please assign to PKI 311",Over flow to PKI 340 and 313,
ECEN 194 - SPECIAL TOPICS IN ELECTRICAL AND COMPUTER ENGINEERING I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-ELEC,ECEN,194,ECEN 194,1,SPECIAL TOPICS IN ELECTRICAL AND COMPUTER ENGINEERING I,Lecture,C PROGRAMMING,MW 1:30pm-2:45pm,MW 1:30pm-2:45pm,"Detloff, Herbert (94889479) [Primary Instructor, Post, Print]",Peter Kiewit Institute 256,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,10,30,,,0,30,,,,,,,"DONE, AMJ - Please assign to PKI 252",,
,Spring 2023,1231,UNO-ELEC,ECEN,194,ECEN 194,2,SPECIAL TOPICS IN ELECTRICAL AND COMPUTER ENGINEERING I,Discussion,C PROGRAMMING,F 9am-11:30am,F 9am-11:30am,"Detloff, Herbert (94889479) [Primary Instructor, Post, Print]",Peter Kiewit Institute 311,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,10,30,,,0,30,,,,,,ECEN 194-001,"DONE, AMJ - Please assign to PKI 311",Overflow room PKI 340,
,Spring 2023,1231,UNO-ELEC,ECEN,194,ECEN 194,3,SPECIAL TOPICS IN ELECTRICAL AND COMPUTER ENGINEERING I,Lecture,SYSTEMS PROGRAMMING,TR 9am-10:15am,TR 9am-10:15am,"Bourke, Christopher (35140602) [Primary Instructor, Post, Print]",Peter Kiewit Institute 263,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,4,4,Graded,,,,25,30,,,0,30,,,,,,,,,
,Spring 2023,1231,UNO-ELEC,ECEN,194,ECEN 194,4,SPECIAL TOPICS IN ELECTRICAL AND COMPUTER ENGINEERING I,Discussion,SYSTEMS PROGRAMMING,TR 10:30am-11:45am,TR 10:30am-11:45am,"Bourke, Christopher (35140602) [Primary Instructor, Post, Print]",Peter Kiewit Institute 340,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,4,4,Graded,,,,25,30,,,0,30,,,,,,ECEN 194-003,,,
ECEN 213 - ELECTRICAL CIRCUITS I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-ELEC,ECEN,213,ECEN 213,1,ELECTRICAL CIRCUITS I,Lecture,,MWF 9am-9:50am,MWF 9am-9:50am,"Nguyen, Lim (11436430) [Primary Instructor, Post, Print]",Peter Kiewit Institute 155,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,7,20,,,0,20,,,,,,,"DONE, AMJ - Please assign to PKI 252",,
ECEN 214 - ELECTRICAL CIRCUITS II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-ELEC,ECEN,214,ECEN 214,1,ELECTRICAL CIRCUITS II,Lecture,,TR 9am-10:15am,TR 9am-10:15am,"Wysocki, Tadeusz (69557710) [Primary Instructor, Post, Print]",Peter Kiewit Institute 274,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,18,40,,,99,40,Also ECEN 217-001,70,,99,70,,"DONE, AMJ - Please assign to PKI 274",,
ECEN 217 - ELECTRICAL CIRCUITS III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-ELEC,ECEN,217,ECEN 217,1,ELECTRICAL CIRCUITS III,Lecture,,TR 9am-10:15am,TR 9am-10:15am,"Wysocki, Tadeusz (69557710) [Primary Instructor, Post, Print]",Peter Kiewit Institute 274,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,1,1,Graded,,,,13,30,,,0,30,See ECEN 214-001,70,,99,70,,"DONE, AMJ - Please assign PKI 274",,
ECEN 222 - ELECTRONIC CIRCUITS I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-ELEC,ECEN,222,ECEN 222,1,ELECTRONIC CIRCUITS I,Lecture/Lab (combo),,TR 10:30am-11:45am,TR 10:30am-11:45am,"Nguyen, Lim (11436430) [Primary Instructor, Post, Print]",Peter Kiewit Institute 252,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,4,4,Graded,,,,29,50,,,99,50,,,,,,,"DONE, AMJ - Please assign to PKI 153",,
ECEN 225 - ELECTRICAL AND COMPUTER ENGINEERING SEMINAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-ELEC,ECEN,225,ECEN 225,1,ELECTRICAL AND COMPUTER ENGINEERING SEMINAR,Seminar,,W 3pm-5pm,W 3pm-5pm,"Chen, Bing (13376740) [Primary Instructor, Post, Print]",Peter Kiewit Institute 252,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,1,1,Graded,,,,58,58,,,0,58,,,,,,,"DONE, AMJ - Please assign to PKI 252",,
ECEN 305 - PROBABILITY THEORY AND STATISTICS FOR ELECTRICAL AND COMPUTER ENGINEERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-ELEC,ECEN,305,ECEN 305,1,PROBABILITY THEORY AND STATISTICS FOR ELECTRICAL AND COMPUTER ENGINEERS,Lecture,,MWF 12:30pm-1:20pm,MWF 12:30pm-1:20pm,"Jang, Won (06068910) [Primary Instructor, Post, Print]",Peter Kiewit Institute 274,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,30,30,,,0,30,,,,,,,"DONE, AMJ - Please assign to PKI 157",,
ECEN 313 - SWITCHING CIRCUITS THEORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-ELEC,ECEN,313,ECEN 313,1,SWITCHING CIRCUITS THEORY,Lecture/Lab (combo),,MW 10:30am-11:45am,MW 10:30am-11:45am,"Peng, Dongming (50913533) [Primary Instructor, Post, Print]",Peter Kiewit Institute 155,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,4,4,Graded,,,,32,50,,,0,50,,,,,,,"DONE, AMJ - Please assign to PKI 153",,
,Spring 2023,1231,UNO-ELEC,ECEN,313,ECEN 313,2,SWITCHING CIRCUITS THEORY,Laboratory,,M 1:30pm-4:20pm,M 1:30pm-4:20pm,"Peng, Dongming (50913533) [Primary Instructor, Post, Print]",Peter Kiewit Institute 340,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,4,4,Graded,,,,15,40,,,0,40,,,,,,ECEN 313-001,"DONE, AMJ - Please assign to PKI 340",Overflow rooms PKI 311 and 313,
,Spring 2023,1231,UNO-ELEC,ECEN,313,ECEN 313,3,SWITCHING CIRCUITS THEORY,Laboratory,,W 1:30pm-4:20pm,W 1:30pm-4:20pm,"Peng, Dongming (50913533) [Primary Instructor, Post, Print]",Peter Kiewit Institute 340,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,4,4,Graded,,,,17,40,,,0,40,,,,,,ECEN 313-001,"DONE, AMJ - Please assign to PKI 340",Overflow rooms PKI 311 and 313,
ECEN 325 - COMMUNICATIONS SYSTEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-ELEC,ECEN,325,ECEN 325,1,COMMUNICATIONS SYSTEMS,Lecture,,TR 12pm-1:15pm,TR 12pm-1:15pm,"Jang, Won (06068910) [Primary Instructor, Post, Print]",Peter Kiewit Institute 157,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,4,4,Graded,,,,13,45,,,0,45,,,,,,,"DONE, AMJ - Please assign to PKI 157",,
ECEN 338 - INTRODUCTION TO POWER AND ENERGY SYSTEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-ELEC,ECEN,338,ECEN 338,1,INTRODUCTION TO POWER AND ENERGY SYSTEMS,Lecture,,MW 9am-10:15am,MW 9am-10:15am,"Schlegel-Boraas, Mikayla (55072495) [Primary Instructor, Post, Print]; Wiebe, Ronda (77305534) [Secondary Instructor, Post, Print]",Peter Kiewit Institute 161,Active,Regular Academic Session,UNO Engineering,Distance Education,,Yes,No Special Consent Required,3,3,Graded,,,,17,26,,,0,26,See ECEN 338-820,25,,0,25,,,,
,Spring 2023,1231,UNO-ELEC,ECEN,338,ECEN 338,820,INTRODUCTION TO POWER AND ENERGY SYSTEMS,Lecture,,MW 9am-10:15am,MW 9am-10:15am,"Schlegel-Boraas, Mikayla (55072495) [Primary Instructor, Post, Print]; Wiebe, Ronda (77305534) [Secondary Instructor, Post, Print]",Peter Kiewit Institute 161,Active,Regular Academic Session,UNO Engineering,Distance Education,,Yes,No Special Consent Required,3,3,Graded,Remote Learning: Remote Learning,,,0,0,,,0,26,Also ECEN 338-001,25,,0,25,,,,
ECEN 433 - MICROPROCESSOR SYSTEM DESIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-ELEC,ECEN,433,ECEN 433,1,MICROPROCESSOR SYSTEM DESIGN,Lecture/Lab (combo),,TR 10:30am-11:45am,TR 10:30am-11:45am,"Sharif-Kashani, Hamid (50070770) [Primary Instructor, Post, Print]",Peter Kiewit Institute 153,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,4,4,Graded,,,,14,30,,,0,30,Also ECEN 833-001,30,,0,30,,"DONE, AMJ - Please assign to PKI 252",,
,Spring 2023,1231,UNO-ELEC,ECEN,433,ECEN 433,2,MICROPROCESSOR SYSTEM DESIGN,Laboratory,,T 1:30pm-4:20pm,T 1:30pm-4:20pm,"Sharif-Kashani, Hamid (50070770) [Primary Instructor, Post, Print]",Peter Kiewit Institute 340,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,4,4,Graded,,,,14,40,,,0,40,Also ECEN 833-002,30,,0,30,ECEN 433-001,"DONE, AMJ - Please assign to PKI 340",Overflow rooms PKI 311 and 313.,
